agents,wake_percent,strategy,process,woken,warmup,frames,elapsed_ms,per_frame_ms,condition_calls,action_calls,node_visits,queue_size,checksum,tree_nodes,tree_depth,root_width
1000,0,root,1,0,100,1000,545.292,0.545292,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,2,0,100,1000,547.367,0.547367,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,3,0,100,1000,534.915,0.534915,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,4,0,100,1000,544.093,0.544093,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,5,0,100,1000,538.07996,0.53808,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,6,0,100,1000,537.99304,0.537993,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,7,0,100,1000,556.26,0.55626,4000000,1000000,10000000,0,0,11,5,2
1000,0,resume,1,0,100,1000,88.461,0.088461,0,1000000,1000000,0,0,11,5,2
1000,0,resume,2,0,100,1000,86.812,0.086812,0,1000000,1000000,0,0,11,5,2
1000,0,resume,3,0,100,1000,75.952,0.075952,0,1000000,1000000,0,0,11,5,2
1000,0,resume,4,0,100,1000,87.927,0.087927,0,1000000,1000000,0,0,11,5,2
1000,0,resume,5,0,100,1000,83.062996,0.083063,0,1000000,1000000,0,0,11,5,2
1000,0,resume,6,0,100,1000,89.292,0.089292,0,1000000,1000000,0,0,11,5,2
1000,0,resume,7,0,100,1000,82.472,0.082472,0,1000000,1000000,0,0,11,5,2
1000,0,event,1,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,2,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,3,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,4,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,5,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,6,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,7,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,1,0,100,1000,0.003,3e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,2,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,3,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,4,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,5,0,100,1000,0.003,3e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,6,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,7,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,1,root,1,10,100,1000,535.666,0.535666,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,2,10,100,1000,538.235,0.538235,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,3,10,100,1000,565.29,0.56529,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,4,10,100,1000,542.406,0.542406,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,5,10,100,1000,540.842,0.540842,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,6,10,100,1000,540.194,0.540194,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,7,10,100,1000,547.83795,0.547838,4000000,1000000,10000000,10,55000,11,5,2
1000,1,resume,1,10,100,1000,81.508,0.081508,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,2,10,100,1000,88.343,0.088343,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,3,10,100,1000,83.989,0.083989,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,4,10,100,1000,89.602,0.089602,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,5,10,100,1000,85.7,0.0857,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,6,10,100,1000,86.397995,0.086398,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,7,10,100,1000,76.727005,0.076727,0,1000000,1000000,10,55000,11,5,2
1000,1,event,1,10,100,1000,0.508,0.000508,0,10000,10000,10,55000,11,5,2
1000,1,event,2,10,100,1000,0.494,0.000494,0,10000,10000,10,55000,11,5,2
1000,1,event,3,10,100,1000,0.49499997,0.000495,0,10000,10000,10,55000,11,5,2
1000,1,event,4,10,100,1000,0.50299996,0.000503,0,10000,10000,10,55000,11,5,2
1000,1,event,5,10,100,1000,0.497,0.000497,0,10000,10000,10,55000,11,5,2
1000,1,event,6,10,100,1000,0.48799998,0.00048799996,0,10000,10000,10,55000,11,5,2
1000,1,event,7,10,100,1000,0.521,0.000521,0,10000,10000,10,55000,11,5,2
1000,1,state_machine,1,10,100,1000,0.084,8.4e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,2,10,100,1000,0.09,9e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,3,10,100,1000,0.085,8.5e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,4,10,100,1000,0.08,8e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,5,10,100,1000,0.088,8.8e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,6,10,100,1000,0.085,8.5e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,7,10,100,1000,0.09,9e-05,0,10000,0,10,55000,11,5,2
