agents,wake_percent,strategy,process,woken,warmup,frames,elapsed_ms,per_frame_ms,condition_calls,action_calls,node_visits,queue_size,checksum,tree_nodes,tree_depth,root_width
1000,0,root,1,0,100,1000,600.739,0.600739,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,2,0,100,1000,579.409,0.579409,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,3,0,100,1000,576.607,0.576607,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,4,0,100,1000,579.151,0.579151,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,5,0,100,1000,578.485,0.578485,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,6,0,100,1000,578.728,0.578728,4000000,1000000,10000000,0,0,11,5,2
1000,0,root,7,0,100,1000,575.29596,0.575296,4000000,1000000,10000000,0,0,11,5,2
1000,0,resume,1,0,100,1000,92.603,0.092603,0,1000000,1000000,0,0,11,5,2
1000,0,resume,2,0,100,1000,91.989006,0.091989,0,1000000,1000000,0,0,11,5,2
1000,0,resume,3,0,100,1000,90.187996,0.090188,0,1000000,1000000,0,0,11,5,2
1000,0,resume,4,0,100,1000,90.47301,0.090473,0,1000000,1000000,0,0,11,5,2
1000,0,resume,5,0,100,1000,86.80299,0.086803,0,1000000,1000000,0,0,11,5,2
1000,0,resume,6,0,100,1000,86.041,0.086041,0,1000000,1000000,0,0,11,5,2
1000,0,resume,7,0,100,1000,88.846,0.088846,0,1000000,1000000,0,0,11,5,2
1000,0,event,1,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,2,0,100,1000,0.005,5e-06,0,0,0,0,0,11,5,2
1000,0,event,3,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,4,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,5,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,6,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,event,7,0,100,1000,0.004,4e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,1,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,2,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,3,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,4,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,5,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,6,0,100,1000,0.003,3e-06,0,0,0,0,0,11,5,2
1000,0,state_machine,7,0,100,1000,0.002,2e-06,0,0,0,0,0,11,5,2
1000,1,root,1,10,100,1000,539.107,0.53910697,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,2,10,100,1000,589.06604,0.589066,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,3,10,100,1000,548.254,0.548254,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,4,10,100,1000,552.401,0.552401,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,5,10,100,1000,544.125,0.544125,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,6,10,100,1000,657.636,0.657636,4000000,1000000,10000000,10,55000,11,5,2
1000,1,root,7,10,100,1000,551.82,0.55182,4000000,1000000,10000000,10,55000,11,5,2
1000,1,resume,1,10,100,1000,86.653,0.086653,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,2,10,100,1000,96.537,0.096537,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,3,10,100,1000,87.48801,0.087488,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,4,10,100,1000,88.119,0.088119,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,5,10,100,1000,86.301994,0.086302,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,6,10,100,1000,89.789,0.089789,0,1000000,1000000,10,55000,11,5,2
1000,1,resume,7,10,100,1000,78.793,0.078793,0,1000000,1000000,10,55000,11,5,2
1000,1,event,1,10,100,1000,0.536,0.000536,0,10000,10000,10,55000,11,5,2
1000,1,event,2,10,100,1000,0.532,0.000532,0,10000,10000,10,55000,11,5,2
1000,1,event,3,10,100,1000,0.505,0.000505,0,10000,10000,10,55000,11,5,2
1000,1,event,4,10,100,1000,0.524,0.000524,0,10000,10000,10,55000,11,5,2
1000,1,event,5,10,100,1000,0.492,0.000492,0,10000,10000,10,55000,11,5,2
1000,1,event,6,10,100,1000,0.507,0.000507,0,10000,10000,10,55000,11,5,2
1000,1,event,7,10,100,1000,0.48,0.00048,0,10000,10000,10,55000,11,5,2
1000,1,state_machine,1,10,100,1000,0.088,8.8e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,2,10,100,1000,0.086,8.6e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,3,10,100,1000,0.091,9.1e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,4,10,100,1000,0.092,9.2e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,5,10,100,1000,0.092,9.2e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,6,10,100,1000,0.095000006,9.5e-05,0,10000,0,10,55000,11,5,2
1000,1,state_machine,7,10,100,1000,0.086,8.6e-05,0,10000,0,10,55000,11,5,2
1000,10,root,1,100,100,1000,547.739,0.547739,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,2,100,100,1000,549.571,0.549571,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,3,100,100,1000,545.634,0.545634,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,4,100,100,1000,568.411,0.568411,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,5,100,100,1000,564.924,0.564924,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,6,100,100,1000,546.33704,0.546337,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,7,100,100,1000,546.455,0.546455,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,resume,1,100,100,1000,87.376,0.087376,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,2,100,100,1000,86.457,0.086457,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,3,100,100,1000,87.021996,0.087022,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,4,100,100,1000,86.559,0.086559,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,5,100,100,1000,91.889,0.091889,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,6,100,100,1000,85.499,0.085499,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,7,100,100,1000,95.733,0.095733,0,1000000,1000000,100,5050000,11,5,2
1000,10,event,1,100,100,1000,4.8019996,0.004802,0,100000,100000,100,5050000,11,5,2
1000,10,event,2,100,100,1000,4.834,0.004834,0,100000,100000,100,5050000,11,5,2
1000,10,event,3,100,100,1000,4.821,0.004821,0,100000,100000,100,5050000,11,5,2
1000,10,event,4,100,100,1000,4.805,0.004805,0,100000,100000,100,5050000,11,5,2
1000,10,event,5,100,100,1000,4.9430003,0.004943,0,100000,100000,100,5050000,11,5,2
1000,10,event,6,100,100,1000,4.785,0.004785,0,100000,100000,100,5050000,11,5,2
1000,10,event,7,100,100,1000,4.8650002,0.004865,0,100000,100000,100,5050000,11,5,2
1000,10,state_machine,1,100,100,1000,0.758,0.000758,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,2,100,100,1000,0.759,0.000759,0,100000,0,100,5050000,11,5,2
