case,version,process,primary_ms
RetainedCanvasGeometry,baseline,1,8.653
RetainedCanvasGeometry,baseline,2,8.415999
RetainedCanvasGeometry,baseline,3,8.301
RetainedCanvasGeometry,baseline,4,8.259999
RetainedCanvasGeometry,baseline,5,8.67
RetainedCanvasGeometry,baseline,6,8.537
RetainedCanvasGeometry,baseline,7,8.207
RetainedCanvasGeometry,candidate,1,8.569
RetainedCanvasGeometry,candidate,2,8.564
RetainedCanvasGeometry,candidate,3,8.565001
RetainedCanvasGeometry,candidate,4,8.502
RetainedCanvasGeometry,candidate,5,8.5060005
RetainedCanvasGeometry,candidate,6,8.583
RetainedCanvasGeometry,candidate,7,8.548
AnimatingCanvasGeometry,baseline,1,1.2762166666666666
AnimatingCanvasGeometry,baseline,2,1.2613208333333332
AnimatingCanvasGeometry,baseline,3,1.2540625
AnimatingCanvasGeometry,baseline,4,1.2530790833333334
AnimatingCanvasGeometry,baseline,5,1.2545375
AnimatingCanvasGeometry,baseline,6,1.24846675
AnimatingCanvasGeometry,baseline,7,1.2489750000000002
AnimatingCanvasGeometry,candidate,1,1.271725
AnimatingCanvasGeometry,candidate,2,1.262625125
AnimatingCanvasGeometry,candidate,3,1.2566124166666666
AnimatingCanvasGeometry,candidate,4,1.2583916666666668
AnimatingCanvasGeometry,candidate,5,1.2540708333333332
AnimatingCanvasGeometry,candidate,6,1.2485707499999998
AnimatingCanvasGeometry,candidate,7,1.2539666666666667
UpdatingTextLayers2D,baseline,1,11.125942
UpdatingTextLayers2D,baseline,2,10.343785
UpdatingTextLayers2D,baseline,3,10.738801
UpdatingTextLayers2D,baseline,4,10.637361
UpdatingTextLayers2D,baseline,5,10.567117
UpdatingTextLayers2D,baseline,6,10.480074
UpdatingTextLayers2D,baseline,7,10.643294
UpdatingTextLayers2D,candidate,1,11.080612
UpdatingTextLayers2D,candidate,2,10.782809
UpdatingTextLayers2D,candidate,3,10.619391
UpdatingTextLayers2D,candidate,4,11.9061575
UpdatingTextLayers2D,candidate,5,12.0489
UpdatingTextLayers2D,candidate,6,10.382859
UpdatingTextLayers2D,candidate,7,10.811658
RetainedUIInteraction,baseline,1,0.32522917
RetainedUIInteraction,baseline,2,0.32977498
RetainedUIInteraction,baseline,3,0.32943752
RetainedUIInteraction,baseline,4,0.32943752
RetainedUIInteraction,baseline,5,0.3301
RetainedUIInteraction,baseline,6,0.33372918
RetainedUIInteraction,baseline,7,0.34488752
RetainedUIInteraction,candidate,1,0.34065002
RetainedUIInteraction,candidate,2,0.34561667
RetainedUIInteraction,candidate,3,0.3421
RetainedUIInteraction,candidate,4,0.3472
RetainedUIInteraction,candidate,5,0.34150416
RetainedUIInteraction,candidate,6,0.34865418
RetainedUIInteraction,candidate,7,0.34207916
