case,process,warmup,frames,width,height,density,seed,draw_calls,pipeline_bindings,texture_bindings,triangles,instances,uniform_bytes,surface_renders,cache_hits,texture_allocations,texture_bytes,geometry_uploads,filtered_pixels,image_uploads,vector_tessellations,coverage_rasters,coverage_pixels,rgba_uploads,cpu_prepare_submit_ms,gpu_queue_drain_ms,mutation_ms,minimum_ms,maximum_ms,rss_bytes
analytic-static,1,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,85.079994,6.208677,0.00042833367,83.328,93.594,177455104
analytic-static,2,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,83.105446,4.8164244,0.00037000046,78.283,100.458,178864128
analytic-static,3,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,82.22008,4.9802136,0.00042166715,80.452,90.062,177586176
analytic-static,4,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,82.65721,4.8568244,0.00038166714,77.617,101.184006,178700288
analytic-static,5,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,80.676674,4.3717237,0.0003050003,76.78,92.436,177766400
analytic-static,6,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,81.00604,4.410782,0.00035166708,75.928,98.477,178454528
analytic-static,7,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,81.41231,4.883152,0.0004383336,78.67799,95.723,178995200
analytic-transform,1,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,84.59941,5.9991107,0.47695002,82.723,98.939,178012160
analytic-transform,2,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,83.149345,5.2446012,0.4989712,77.272995,103.947,178520064
analytic-transform,3,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,87.45789,4.624528,0.4730016,83.872,96.469,177733632
analytic-transform,4,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,83.907295,4.1474957,0.487715,79.252,102.743,178798592
analytic-transform,5,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,82.66707,4.302034,0.47951478,78.924,96.79301,177913856
analytic-transform,6,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,84.38918,4.9816313,0.48317653,77.990005,103.073,178651136
analytic-transform,7,120,600,1920,1080,1,12648430,1,1,0,8192,4096,64,0,0,0,0,0,0,0,0,0,0,0,83.98141,4.360955,0.48678508,77.06,123.889,179060736
filtered-static,1,120,600,1920,1080,1,12648430,128,128,128,256,128,32768,0,76800,0,5814848,0,1048576,0,0,0,0,0,26.347832,0.7441103,0.00013999999,25.91,28.779,288866304
filtered-static,2,120,600,1920,1080,1,12648430,128,128,128,256,128,32768,0,76800,0,5814848,0,1048576,0,0,0,0,0,26.536251,0.7515535,0.00017000004,25.608,29.584,288882688
filtered-static,3,120,600,1920,1080,1,12648430,128,128,128,256,128,32768,0,76800,0,5814848,0,1048576,0,0,0,0,0,26.492565,0.7505735,0.00016333336,25.984001,28.767,288882688
filtered-static,4,120,600,1920,1080,1,12648430,128,128,128,256,128,32768,0,76800,0,5814848,0,1048576,0,0,0,0,0,24.727312,0.762147,0.00022666683,23.74,28.198,288866304
filtered-static,5,120,600,1920,1080,1,12648430,128,128,128,256,128,32768,0,76800,0,5814848,0,1048576,0,0,0,0,0,26.396383,0.7767519,0.00020000011,25.515999,28.109,288768000
filtered-static,6,120,600,1920,1080,1,12648430,128,128,128,256,128,32768,0,76800,0,5814848,0,1048576,0,0,0,0,0,26.192022,0.7715921,0.00018666674,25.376,28.728,288833536
filtered-static,7,120,600,1920,1080,1,12648430,128,128,128,256,128,32768,0,76800,0,5814848,0,1048576,0,0,0,0,0,26.711113,0.7871985,0.00021000013,25.699001,30.161999,288997376
filtered-dynamic,1,120,600,1920,1080,1,12648430,1073,1073,384,158706,1142,86080,38400,0,0,8876448,38400,2097152,0,0,0,0,0,842.5786,0.8308645,2.050028,432.228,1283.1841,2650980352
filtered-dynamic,2,120,600,1920,1080,1,12648430,1073,1073,384,158706,1142,86080,38400,0,0,8876448,38400,2097152,0,0,0,0,0,846.72675,1.1239197,2.0746384,429.782,1316.791,2771107840
filtered-dynamic,3,120,600,1920,1080,1,12648430,1073,1073,384,158706,1142,86080,38400,0,0,8876448,38400,2097152,0,0,0,0,0,838.397,0.96846354,2.035032,427.25803,1334.182,2270986240
filtered-dynamic,4,120,600,1920,1080,1,12648430,1073,1073,384,158706,1142,86080,38400,0,0,8876448,38400,2097152,0,0,0,0,0,832.8322,0.92352307,2.0168777,429.518,1295.217,2033090560
filtered-dynamic,5,120,600,1920,1080,1,12648430,1073,1073,384,158706,1142,86080,38400,0,0,8876448,38400,2097152,0,0,0,0,0,839.14246,1.1259457,2.0492241,436.613,1340.9099,1995554816
filtered-dynamic,6,120,600,1920,1080,1,12648430,1073,1073,384,158706,1142,86080,38400,0,0,8876448,38400,2097152,0,0,0,0,0,849.05066,1.0191619,2.0639155,433.004,1306.996,1878458368
filtered-dynamic,7,120,600,1920,1080,1,12648430,1073,1073,384,158706,1142,86080,38400,0,0,8876448,38400,2097152,0,0,0,0,0,841.9523,1.0638416,2.0553026,417.28,1313.025,2082766848
fullscreen,1,120,600,1920,1080,1,12648430,1,1,1,2,1,256,0,600,0,43401000,0,2073600,0,0,0,0,0,0.19126485,0.30787012,6.6666646e-05,0.174,0.385,138330112
fullscreen,2,120,600,1920,1080,1,12648430,1,1,1,2,1,256,0,600,0,43401000,0,2073600,0,0,0,0,0,0.18942969,0.32666183,6.6666646e-05,0.174,0.35700002,138379264
fullscreen,3,120,600,1920,1080,1,12648430,1,1,1,2,1,256,0,600,0,43401000,0,2073600,0,0,0,0,0,0.18620495,0.4713149,7.666663e-05,0.168,0.327,138428416
fullscreen,4,120,600,1920,1080,1,12648430,1,1,1,2,1,256,0,600,0,43401000,0,2073600,0,0,0,0,0,0.18577833,0.2664118,7.499997e-05,0.165,0.356,138379264
fullscreen,5,120,600,1920,1080,1,12648430,1,1,1,2,1,256,0,600,0,43401000,0,2073600,0,0,0,0,0,0.18551673,0.3765098,7.33333e-05,0.168,0.33,138444800
fullscreen,6,120,600,1920,1080,1,12648430,1,1,1,2,1,256,0,600,0,43401000,0,2073600,0,0,0,0,0,0.1900614,0.32358345,5.999999e-05,0.161,0.352,138919936
fullscreen,7,120,600,1920,1080,1,12648430,1,1,1,2,1,256,0,600,0,43401000,0,2073600,0,0,0,0,0,0.1891765,0.5783814,7.666663e-05,0.172,0.317,138362880
