case,process,placements,warmup,iterations,elapsed_ms,per_frame_ms,source_renders,source_cache_hits,filter_renders,filter_cache_hits,pipelines,pipeline_creations,pipeline_cache_hits,allocations,gpu_bytes,rgba_uploads,rss_bytes
unfiltered,1,16,4,32,5.993,0.18728125,1,575,0,0,0,0,0,2,131072,0,121716736
unfiltered,2,16,4,32,6.1130004,0.19103126,1,575,0,0,0,0,0,2,131072,0,121733120
unfiltered,3,16,4,32,6.326,0.1976875,1,575,0,0,0,0,0,2,131072,0,121913344
unfiltered,4,16,4,32,6.02,0.188125,1,575,0,0,0,0,0,2,131072,0,121946112
unfiltered,5,16,4,32,5.96,0.18625,1,575,0,0,0,0,0,2,131072,0,121585664
unfiltered,6,16,4,32,6.358,0.1986875,1,575,0,0,0,0,0,2,131072,0,121847808
unfiltered,7,16,4,32,6.084,0.190125,1,575,0,0,0,0,0,2,131072,0,121765888
shared,1,16,4,32,11.478001,0.35868752,1,575,36,540,1,1,35,3,196608,0,124993536
shared,2,16,4,32,9.452999,0.29540622,1,575,36,540,1,1,35,3,196608,0,124780544
shared,3,16,4,32,10.934,0.3416875,1,575,36,540,1,1,35,3,196608,0,124551168
shared,4,16,4,32,10.92,0.34125,1,575,36,540,1,1,35,3,196608,0,124895232
shared,5,16,4,32,10.976,0.343,1,575,36,540,1,1,35,3,196608,0,125222912
shared,6,16,4,32,12.077,0.37740624,1,575,36,540,1,1,35,3,196608,0,124878848
shared,7,16,4,32,10.863,0.33946875,1,575,36,540,1,1,35,3,196608,0,125321216
fragmented,1,16,4,32,43.140003,1.3481251,1,575,576,0,2,2,574,18,1179648,0,147980288
fragmented,2,16,4,32,42.982002,1.3431876,1,575,576,0,2,2,574,18,1179648,0,148144128
fragmented,3,16,4,32,44.082,1.3775625,1,575,576,0,2,2,574,18,1179648,0,147849216
fragmented,4,16,4,32,43.253998,1.3516874,1,575,576,0,2,2,574,18,1179648,0,147800064
fragmented,5,16,4,32,44.100998,1.3781562,1,575,576,0,2,2,574,18,1179648,0,148324352
fragmented,6,16,4,32,43.113,1.3472812,1,575,576,0,2,2,574,18,1179648,0,147980288
fragmented,7,16,4,32,40.731003,1.2728438,1,575,576,0,2,2,574,18,1179648,0,148176896
