  state[0]: position=(-4.35, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[1]: position=(-4.25, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[2]: position=(-4.15, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[3]: position=(-4.05, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[4]: position=(-3.95, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[5]: position=(-3.8500001, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[6]: position=(-3.75, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[7]: position=(-3.65, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[8]: position=(-3.55, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[9]: position=(-3.45, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[10]: position=(-3.3500001, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[11]: position=(-3.25, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[12]: position=(-3.15, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[13]: position=(-3.05, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[14]: position=(-2.95, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[15]: position=(-2.8500001, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[16]: position=(-2.75, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[17]: position=(-2.65, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[18]: position=(-2.55, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[19]: position=(-2.45, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[20]: position=(-2.3500001, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[21]: position=(-2.25, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[22]: position=(-2.15, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[23]: position=(-2.05, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[24]: position=(-1.95, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[25]: position=(-1.85, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[26]: position=(-1.75, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[27]: position=(-1.65, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[28]: position=(-1.5500001, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[29]: position=(-1.45, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[30]: position=(-1.35, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[31]: position=(-1.25, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[32]: position=(-1.15, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[33]: position=(-1.0500001, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[34]: position=(-0.95, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[35]: position=(-0.85, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[36]: position=(-0.75, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[37]: position=(-0.65000004, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[38]: position=(-0.55, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
