case,process,warmup,iterations,elapsed_ms,per_iteration_ms,gpu_bytes,rss_bytes,allocations,renders,cache_hits,rgba_uploads
static,1,64,4096,196.36101,0.0479397,1372536,183369728,7,2,4161,0
static,2,64,4096,186.879,0.045624755,1372536,182992896,7,2,4161,0
static,3,64,4096,190.117,0.046415284,1372536,182927360,7,2,4161,0
static,4,64,4096,190.26,0.046450194,1372536,182976512,7,2,4161,0
static,5,64,4096,188.732,0.046077147,1372536,182960128,7,2,4161,0
static,6,64,4096,192.57399,0.047015134,1372536,182960128,7,2,4161,0
static,7,64,4096,193.145,0.047154542,1372536,182992896,7,2,4161,0
transform_only,1,24,160,43.551003,0.27219376,2294136,115769344,7,2,1,0
transform_only,2,24,160,43.402,0.2712625,2294136,115490816,7,2,1,0
transform_only,3,24,160,44.753,0.27970624,2294136,115556352,7,2,1,0
transform_only,4,24,160,44.591,0.27869374,2294136,115621888,7,2,1,0
transform_only,5,24,160,44.98,0.281125,2294136,115654656,7,2,1,0
transform_only,6,24,160,45.354,0.2834625,2294136,115441664,7,2,1,0
transform_only,7,24,160,45.163,0.28226873,2294136,115589120,7,2,1,0
content_mutation,1,12,80,219.28801,2.7411,1372536,136265728,644,184,93,0
content_mutation,2,12,80,221.08,2.7635,1372536,136282112,644,184,93,0
content_mutation,3,12,80,224.727,2.8090875,1372536,136364032,644,184,93,0
content_mutation,4,12,80,221.416,2.7677,1372536,136347648,644,184,93,0
content_mutation,5,12,80,221.23,2.765375,1372536,136282112,644,184,93,0
content_mutation,6,12,80,225.752,2.8219,1372536,136265728,644,184,93,0
content_mutation,7,12,80,223.888,2.7986,1372536,136298496,644,184,93,0
fullscreen,1,2,8,40.073997,5.0092497,48620800,117964800,70,20,11,0
fullscreen,2,2,8,40.193,5.024125,48620800,117915648,70,20,11,0
fullscreen,3,2,8,39.792,4.974,48620800,117981184,70,20,11,0
fullscreen,4,2,8,39.393997,4.9242496,48620800,117899264,70,20,11,0
fullscreen,5,2,8,39.670002,4.9587502,48620800,117899264,70,20,11,0
fullscreen,6,2,8,39.708,4.9635,48620800,117899264,70,20,11,0
fullscreen,7,2,8,39.382,4.92275,48620800,117932032,70,20,11,0
