engine,repetition,case,iterations,load_ms,measure_ms,raster_ms,total_ms,width_milli,height_milli,lines,nonzero,alpha,rss_bytes
baseline,1,cold_first,1,1.9970001,4.23,3.5870001,9.8140002,311000,20000,1,3815,676190,26509312
baseline,2,cold_first,1,0.837,1.004,2.221,4.062,311000,20000,1,3815,676190,26525696
baseline,3,cold_first,1,0.608,0.779,1.5699999,2.9569999,311000,20000,1,3815,676190,26509312
baseline,4,cold_first,1,0.575,0.696,1.4890001,2.7600001,311000,20000,1,3815,676190,26525696
baseline,5,cold_first,1,0.58400005,0.73700005,1.467,2.7880001,311000,20000,1,3815,676190,26443776
baseline,6,cold_first,1,0.571,0.67899996,1.452,2.7019999599999998,311000,20000,1,3815,676190,26460160
baseline,7,cold_first,1,0.579,0.726,1.456,2.761,311000,20000,1,3815,676190,26542080
baseline,1,retained_static,1000,0.0,3.612018,1.2570007,4.8690187,344000,20000,1,4324,762432,26689536
baseline,2,retained_static,1000,0.0,3.628018,1.2450007,4.8730187,344000,20000,1,4324,762432,26689536
baseline,3,retained_static,1000,0.0,4.175015,1.2640008,5.4390158,344000,20000,1,4324,762432,26722304
baseline,4,retained_static,1000,0.0,3.8230202,1.2520007,5.0750209,344000,20000,1,4324,762432,26689536
baseline,5,retained_static,1000,0.0,3.8550193,1.2530007,5.10802,344000,20000,1,4324,762432,26640384
baseline,6,retained_static,1000,0.0,3.8770196,1.2460006,5.1230202,344000,20000,1,4324,762432,26673152
baseline,7,retained_static,1000,0.0,3.9390185,1.3400006,5.2790191,344000,20000,1,4324,762432,26689536
baseline,1,retained_static_soak,10000,0.0,35.303326,2.1640072,37.4673332,344000,20000,1,4324,762432,26722304
baseline,2,retained_static_soak,10000,0.0,37.45222,2.1180072,39.5702272,344000,20000,1,4324,762432,26689536
baseline,3,retained_static_soak,10000,0.0,35.971523,2.1560075,38.1275305,344000,20000,1,4324,762432,26689536
baseline,4,retained_static_soak,10000,0.0,38.17914,2.170007,40.349146999999995,344000,20000,1,4324,762432,26705920
baseline,5,retained_static_soak,10000,0.0,35.547256,2.149007,37.696262999999995,344000,20000,1,4324,762432,26640384
baseline,6,retained_static_soak,10000,0.0,36.37464,2.0390067,38.4136467,344000,20000,1,4324,762432,26689536
baseline,7,retained_static_soak,10000,0.0,35.341675,2.185007,37.526682,344000,20000,1,4324,762432,26640384
baseline,1,forced_static_raster,1000,0.0,3.74202,882.81775,886.5597700000001,344000000,20000000,1000,4324000,762432000,26722304
baseline,2,forced_static_raster,1000,0.0,3.76802,887.61835,891.3863699999999,344000000,20000000,1000,4324000,762432000,26624000
baseline,3,forced_static_raster,1000,0.0,3.9400194,880.49585,884.4358694,344000000,20000000,1000,4324000,762432000,26722304
baseline,4,forced_static_raster,1000,0.0,3.9520195,923.4191,927.3711195,344000000,20000000,1000,4324000,762432000,26755072
baseline,5,forced_static_raster,1000,0.0,3.7860205,887.98334,891.7693605,344000000,20000000,1000,4324000,762432000,26705920
baseline,6,forced_static_raster,1000,0.0,3.97002,899.8694,903.83942,344000000,20000000,1000,4324000,762432000,26689536
baseline,7,forced_static_raster,1000,0.0,4.082019,922.3048,926.386819,344000000,20000000,1000,4324000,762432000,26755072
baseline,1,dynamic_short,400,0.0,3.073011,371.46902,374.542031,110058000,8000000,400,1220815,213478967,43499520
baseline,2,dynamic_short,400,0.0,2.925008,370.52887,373.453878,110058000,8000000,400,1220815,213478967,43565056
baseline,3,dynamic_short,400,0.0,2.9390075,364.95096,367.8899675,110058000,8000000,400,1220815,213478967,43466752
baseline,4,dynamic_short,400,0.0,3.0480058,386.26907,389.3170758,110058000,8000000,400,1220815,213478967,43532288
baseline,5,dynamic_short,400,0.0,2.8770084,366.69095,369.5679584,110058000,8000000,400,1220815,213478967,43548672
baseline,6,dynamic_short,400,0.0,3.0590067,384.3289,387.3879067,110058000,8000000,400,1220815,213478967,43532288
baseline,7,dynamic_short,400,0.0,3.0820081,379.87378,382.9557881,110058000,8000000,400,1220815,213478967,43532288
baseline,1,multi_script,240,0.0,7.0209827,163.16898,170.1899627,51680000,4800000,240,811400,144298120,49905664
baseline,2,multi_script,240,0.0,7.1269813,166.045,173.1719813,51680000,4800000,240,811400,144298120,49938432
baseline,3,multi_script,240,0.0,7.3259892,166.77391,174.0998992,51680000,4800000,240,811400,144298120,49971200
baseline,4,multi_script,240,0.0,7.096989,164.77306,171.870049,51680000,4800000,240,811400,144298120,50053120
baseline,5,multi_script,240,0.0,7.392989,173.21097,180.603959,51680000,4800000,240,811400,144298120,49872896
baseline,6,multi_script,240,0.0,7.5409937,171.47096,179.0119537,51680000,4800000,240,811400,144298120,49987584
baseline,7,multi_script,240,0.0,7.116983,163.76299,170.879973,51680000,4800000,240,811400,144298120,49954816
baseline,1,pressure_first,640,0.0,6.404003,1103.1793,1109.5833030000001,310615000,12800000,640,4114446,725562319,52264960
baseline,2,pressure_first,640,0.0,6.4519997,1131.146,1137.5979997,310615000,12800000,640,4114446,725562319,52248576
baseline,3,pressure_first,640,0.0,6.232003,1085.4125,1091.644503,310615000,12800000,640,4114446,725562319,52232192
baseline,4,pressure_first,640,0.0,6.5349927,1131.0936,1137.6285927,310615000,12800000,640,4114446,725562319,52248576
baseline,5,pressure_first,640,0.0,6.391,1091.1447,1097.5357000000001,310615000,12800000,640,4114446,725562319,52215808
baseline,6,pressure_first,640,0.0,6.3879957,1101.2158,1107.6037956999999,310615000,12800000,640,4114446,725562319,52297728
baseline,7,pressure_first,640,0.0,6.662991,1141.4368,1148.0997909999999,310615000,12800000,640,4114446,725562319,52346880
baseline,1,pressure_revisit,640,0.0,6.542003,1020.81146,1027.353463,310615000,12800000,640,4114446,725562319,52314112
baseline,2,pressure_revisit,640,0.0,6.4820004,999.7729,1006.2549004,310615000,12800000,640,4114446,725562319,52248576
baseline,3,pressure_revisit,640,0.0,6.4049997,993.3956,999.8005996999999,310615000,12800000,640,4114446,725562319,52281344
baseline,4,pressure_revisit,640,0.0,6.632998,1029.3889,1036.021898,310615000,12800000,640,4114446,725562319,52281344
baseline,5,pressure_revisit,640,0.0,6.4249964,1005.84985,1012.2748464,310615000,12800000,640,4114446,725562319,52281344
baseline,6,pressure_revisit,640,0.0,6.2780013,993.7299,1000.0079013000001,310615000,12800000,640,4114446,725562319,52281344
baseline,7,pressure_revisit,640,0.0,6.210002,999.0631,1005.273102,310615000,12800000,640,4114446,725562319,52281344
candidate,1,cold_first,1,3.072,2.693,2.559,8.324000000000002,311000,20000,1,3853,673661,49479680
candidate,2,cold_first,1,0.923,0.475,1.534,2.9320000000000004,311000,20000,1,3853,673661,49479680
candidate,3,cold_first,1,0.819,0.413,1.37,2.6020000000000003,311000,20000,1,3853,673661,49496064
candidate,4,cold_first,1,0.723,0.377,1.209,2.309,311000,20000,1,3853,673661,49479680
candidate,5,cold_first,1,0.675,0.359,1.186,2.2199999999999998,311000,20000,1,3853,673661,49446912
candidate,6,cold_first,1,0.695,0.37600002,1.266,2.33700002,311000,20000,1,3853,673661,49463296
candidate,7,cold_first,1,0.68200004,0.368,1.288,2.33800004,311000,20000,1,3853,673661,49463296
candidate,1,retained_static,1000,0.0,0.2719994,0.8080006,1.08,345000,20000,1,4361,757776,49856512
candidate,2,retained_static,1000,0.0,0.26499933,0.8130008,1.07800013,345000,20000,1,4361,757776,49856512
candidate,3,retained_static,1000,0.0,0.2589993,0.8240007,1.083,345000,20000,1,4361,757776,49856512
candidate,4,retained_static,1000,0.0,0.26699936,0.7860006,1.0529999600000002,345000,20000,1,4361,757776,49856512
candidate,5,retained_static,1000,0.0,0.26299933,0.7980007,1.06100003,345000,20000,1,4361,757776,49856512
candidate,6,retained_static,1000,0.0,0.26799935,0.80400074,1.07200009,345000,20000,1,4361,757776,49856512
candidate,7,retained_static,1000,0.0,0.26099932,0.7990006,1.0599999199999999,345000,20000,1,4361,757776,49856512
candidate,1,retained_static_soak,10000,0.0,2.1040132,1.5460064,3.6500196,345000,20000,1,4361,757776,49856512
candidate,2,retained_static_soak,10000,0.0,2.052013,1.5670065,3.6190195000000003,345000,20000,1,4361,757776,49856512
candidate,3,retained_static_soak,10000,0.0,2.0400128,1.5920068,3.6320196,345000,20000,1,4361,757776,49856512
candidate,4,retained_static_soak,10000,0.0,2.0940132,1.6240066,3.7180198,345000,20000,1,4361,757776,49840128
candidate,5,retained_static_soak,10000,0.0,2.0540128,1.5540065,3.6080193000000005,345000,20000,1,4361,757776,49856512
