revision,strategy,repetition,per_frame_ms
baseline,nodes_static,1,25.398104
baseline,nodes_static,2,25.123070
baseline,nodes_static,3,25.199722
baseline,nodes_static,4,26.093307
baseline,nodes_static,5,26.286871
baseline,nodes_static,6,26.826422
baseline,nodes_static,7,26.257639
baseline,nodes_processing,1,26.705473
baseline,nodes_processing,2,26.424284
baseline,nodes_processing,3,26.716608
baseline,nodes_processing,4,27.164879
baseline,nodes_processing,5,27.726608
baseline,nodes_processing,6,27.543646
baseline,nodes_processing,7,27.099150
baseline,nodes_mixed,1,26.215178
baseline,nodes_mixed,2,25.813955
baseline,nodes_mixed,3,28.073261
baseline,nodes_mixed,4,28.577390
baseline,nodes_mixed,5,28.491919
baseline,nodes_mixed,6,28.536205
baseline,nodes_mixed,7,28.831074
baseline,nodes_moving,1,29.359960
baseline,nodes_moving,2,28.997263
baseline,nodes_moving,3,29.139270
baseline,nodes_moving,4,28.988466
baseline,nodes_moving,5,28.384974
baseline,nodes_moving,6,27.365362
baseline,nodes_moving,7,27.653860
pre_cache,nodes_static,1,0.002380
pre_cache,nodes_static,2,0.002010
pre_cache,nodes_static,3,0.002055
pre_cache,nodes_static,4,0.002000
pre_cache,nodes_static,5,0.002065
pre_cache,nodes_static,6,0.002235
pre_cache,nodes_static,7,0.002280
pre_cache,nodes_processing,1,0.037330
pre_cache,nodes_processing,2,0.035830
pre_cache,nodes_processing,3,0.040280
pre_cache,nodes_processing,4,0.037470
pre_cache,nodes_processing,5,0.035335
pre_cache,nodes_processing,6,0.039440
pre_cache,nodes_processing,7,0.037050
pre_cache,nodes_mixed,1,0.036830
pre_cache,nodes_mixed,2,0.037420
pre_cache,nodes_mixed,3,0.034985
pre_cache,nodes_mixed,4,0.033870
pre_cache,nodes_mixed,5,0.036235
pre_cache,nodes_mixed,6,0.033485
pre_cache,nodes_mixed,7,0.033265
pre_cache,nodes_moving,1,32.644480
pre_cache,nodes_moving,2,33.061590
pre_cache,nodes_moving,3,32.708520
pre_cache,nodes_moving,4,33.353443
pre_cache,nodes_moving,5,32.558730
pre_cache,nodes_moving,6,32.442265
pre_cache,nodes_moving,7,32.970310
candidate,nodes_static,1,0.002155
candidate,nodes_static,2,0.002155
candidate,nodes_static,3,0.002220
candidate,nodes_static,4,0.002360
candidate,nodes_static,5,0.002420
candidate,nodes_static,6,0.002110
candidate,nodes_static,7,0.002275
candidate,nodes_processing,1,0.038935
candidate,nodes_processing,2,0.037700
candidate,nodes_processing,3,0.039170
candidate,nodes_processing,4,0.036245
candidate,nodes_processing,5,0.043980
candidate,nodes_processing,6,0.037105
candidate,nodes_processing,7,0.037995
candidate,nodes_mixed,1,0.029105
candidate,nodes_mixed,2,0.028880
candidate,nodes_mixed,3,0.030205
candidate,nodes_mixed,4,0.029875
candidate,nodes_mixed,5,0.030385
candidate,nodes_mixed,6,0.029835
candidate,nodes_mixed,7,0.027795
candidate,nodes_moving,1,0.326845
candidate,nodes_moving,2,0.329860
candidate,nodes_moving,3,0.322875
candidate,nodes_moving,4,0.336235
candidate,nodes_moving,5,0.317825
candidate,nodes_moving,6,0.322130
candidate,nodes_moving,7,0.318410
candidate,ecs_static,1,0.000050
candidate,ecs_static,2,0.000050
candidate,ecs_static,3,0.000050
candidate,ecs_static,4,0.000045
candidate,ecs_static,5,0.000050
candidate,ecs_static,6,0.000050
candidate,ecs_static,7,0.000050
candidate,ecs_moving,1,0.129290
candidate,ecs_moving,2,0.157040
candidate,ecs_moving,3,0.155100
candidate,ecs_moving,4,0.153200
candidate,ecs_moving,5,0.185590
candidate,ecs_moving,6,0.158540
candidate,ecs_moving,7,0.160650
