family,process,phase,backend,batch,iterations,elapsed_ms,per_iteration_ms,observation,uploads,downloads,compute_passes
mlp,1,construction,cpu,4,5,1.671,0.3342,none,0,0,0
mlp,1,forward_cold,cpu,4,1,1.123,1.123,none,0,0,0
mlp,1,forward_hot,cpu,4,3,3.1959999,1.0653332,none,0,0,0
mlp,1,backward_cold,cpu,4,1,2.165,2.165,none,0,0,0
mlp,1,backward_hot,cpu,4,3,6.42,2.14,none,0,0,0
mlp,1,step_sgd,cpu,4,3,3.697,1.2323333,none,0,0,0
mlp,1,step_adam,cpu,4,3,16.727001,5.575667,none,0,0,0
mlp,1,loss_read,cpu,4,1,0.004,0.004,every_step,0,0,0
mlp,1,step_resident,cpu,4,3,27.883001,9.294333,spaced,0,0,0
mlp,1,forward_cold,gpu,4,1,4.097,4.097,none,0,0,5
mlp,1,forward_hot,gpu,4,3,8.832,2.944,none,0,0,15
mlp,1,backward_cold,gpu,4,1,19.315,19.315,none,0,0,33
mlp,1,backward_hot,gpu,4,3,57.541996,19.180666,none,0,0,99
mlp,1,step_sgd,gpu,4,3,21.329998,7.109999,none,0,0,40
mlp,1,step_adam,gpu,4,3,95.035,31.678335,none,0,0,192
mlp,1,loss_read,gpu,4,1,0.21,0.21,every_step,0,1,0
mlp,1,step_resident,gpu,4,3,194.028,64.676,spaced,0,0,333
mlp,1,step_end_to_end,gpu,4,1,43.717,43.717,every_step,6,5,55
mlp,1,construction,cpu,16,5,2.45,0.49,none,0,0,0
mlp,1,forward_cold,cpu,16,1,4.099,4.099,none,0,0,0
mlp,1,forward_hot,cpu,16,3,12.212,4.070667,none,0,0,0
mlp,1,backward_cold,cpu,16,1,6.836,6.836,none,0,0,0
mlp,1,backward_hot,cpu,16,3,20.497002,6.832334,none,0,0,0
mlp,1,step_sgd,cpu,16,3,4.71,1.57,none,0,0,0
mlp,1,step_adam,cpu,16,3,21.429998,7.143333,none,0,0,0
mlp,1,loss_read,cpu,16,1,0.007,0.007,every_step,0,0,0
mlp,1,step_resident,cpu,16,3,56.334,18.778,spaced,0,0,0
mlp,1,forward_cold,gpu,16,1,4.137,4.137,none,0,0,5
mlp,1,forward_hot,gpu,16,3,9.84,3.28,none,0,0,15
mlp,1,backward_cold,gpu,16,1,20.379,20.379,none,0,0,33
mlp,1,backward_hot,gpu,16,3,61.236,20.412,none,0,0,99
mlp,1,step_sgd,gpu,16,3,25.788,8.596,none,0,0,40
mlp,1,step_adam,gpu,16,3,109.315994,36.438663,none,0,0,192
mlp,1,loss_read,gpu,16,1,0.237,0.237,every_step,0,1,0
mlp,1,step_resident,gpu,16,3,207.32901,69.10967,spaced,0,0,333
mlp,1,step_end_to_end,gpu,16,1,45.859,45.859,every_step,6,5,55
mlp,1,construction,cpu,64,5,3.805,0.76100004,none,0,0,0
mlp,1,forward_cold,cpu,64,1,15.9869995,15.9869995,none,0,0,0
mlp,1,forward_hot,cpu,64,3,48.358997,16.119665,none,0,0,0
mlp,1,backward_cold,cpu,64,1,23.16,23.16,none,0,0,0
mlp,1,backward_hot,cpu,64,3,69.398,23.132668,none,0,0,0
mlp,1,step_sgd,cpu,64,3,6.665,2.2216666,none,0,0,0
mlp,1,step_adam,cpu,64,3,26.884,8.961333,none,0,0,0
mlp,1,loss_read,cpu,64,1,0.01,0.01,every_step,0,0,0
mlp,1,step_resident,cpu,64,3,147.173,49.057667,spaced,0,0,0
mlp,1,forward_cold,gpu,64,1,4.605,4.605,none,0,0,5
mlp,1,forward_hot,gpu,64,3,11.188001,3.7293336,none,0,0,15
mlp,1,backward_cold,gpu,64,1,23.668001,23.668001,none,0,0,33
mlp,1,backward_hot,gpu,64,3,70.614006,23.538002,none,0,0,99
mlp,1,step_sgd,gpu,64,3,30.607998,10.202666,none,0,0,40
mlp,1,step_adam,gpu,64,3,136.615,45.538334,none,0,0,192
