group,process,phase,family,backend,dtype,size,elements,bytes,transfer_mode,iterations,elapsed_ms,per_iteration_ms,uploads,downloads,compute_passes
types,1,construction,cpu_memory,cpu,float32,0,65536,262144,equal_cardinality,5,0.024999999,0.005,0,0,0
types,1,extraction,cpu_memory,cpu,float32,0,65536,262144,equal_cardinality,5,4.658,0.9316,0,0,0
types,1,upload,transfer,gpu,float32,0,65536,262144,equal_cardinality,5,8.651,1.7302,5,0,0
types,1,download,transfer,gpu,float32,0,65536,262144,equal_cardinality,5,3.997,0.7994,0,5,0
types,1,construction,cpu_memory,cpu,int8,0,65536,65536,equal_cardinality,5,0.023,0.0046,0,0,0
types,1,extraction,cpu_memory,cpu,int8,0,65536,65536,equal_cardinality,5,4.884,0.97679996,0,0,0
types,1,upload,transfer,gpu,int8,0,65536,65536,equal_cardinality,5,10.054,2.0108,5,0,0
types,1,download,transfer,gpu,int8,0,65536,65536,equal_cardinality,5,2.993,0.59860003,0,5,0
types,1,construction,cpu_memory,cpu,uint8,0,65536,65536,equal_cardinality,5,0.026,0.0052,0,0,0
types,1,extraction,cpu_memory,cpu,uint8,0,65536,65536,equal_cardinality,5,4.864,0.97279996,0,0,0
types,1,upload,transfer,gpu,uint8,0,65536,65536,equal_cardinality,5,6.4360003,1.2872001,5,0,0
types,1,download,transfer,gpu,uint8,0,65536,65536,equal_cardinality,5,2.408,0.4816,0,5,0
types,1,construction,cpu_memory,cpu,int16,0,65536,131072,equal_cardinality,5,0.024999999,0.005,0,0,0
types,1,extraction,cpu_memory,cpu,int16,0,65536,131072,equal_cardinality,5,4.895,0.979,0,0,0
types,1,upload,transfer,gpu,int16,0,65536,131072,equal_cardinality,5,8.352,1.6704,5,0,0
types,1,download,transfer,gpu,int16,0,65536,131072,equal_cardinality,5,2.424,0.4848,0,5,0
types,1,construction,cpu_memory,cpu,uint16,0,65536,131072,equal_cardinality,5,0.027,0.0054,0,0,0
types,1,extraction,cpu_memory,cpu,uint16,0,65536,131072,equal_cardinality,5,4.8890004,0.9778001,0,0,0
types,1,upload,transfer,gpu,uint16,0,65536,131072,equal_cardinality,5,5.481,1.0962,5,0,0
types,1,download,transfer,gpu,uint16,0,65536,131072,equal_cardinality,5,2.774,0.5548,0,5,0
types,1,construction,cpu_memory,cpu,int32,0,65536,262144,equal_cardinality,5,0.027,0.0054,0,0,0
types,1,extraction,cpu_memory,cpu,int32,0,65536,262144,equal_cardinality,5,4.96,0.992,0,0,0
types,1,upload,transfer,gpu,int32,0,65536,262144,equal_cardinality,5,5.6730003,1.1346,5,0,0
types,1,download,transfer,gpu,int32,0,65536,262144,equal_cardinality,5,2.5249999,0.505,0,5,0
